ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
0;5.4;6.509681791;7.623197276;8.930694709;9.340116171;9.212887263;9.165171772;9.318913014;9.758906393;9.838458618;9.843741264;9.78011678;9.711208893;11.05828976;11.20351582;11.30468718;11.42450033;11.52356243;11.52371525;11.52340261;11.52182175;11.5156985;11.51298851;11.51354464;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245;11.5097245
1;4.86;5.858713612;6.860877548;8.037625239;8.406104553;8.291598537;8.248654595;8.387021712;8.783015754;8.854612756;8.859367137;8.802105102;8.740088004;9.95246078;10.08316424;10.17421846;10.2820503;10.37120619;10.37134372;10.37106235;10.36963958;10.36412865;10.36168966;10.36219017;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205
2;1.08;1.301936358;1.524639455;1.786138942;1.868023234;1.842577453;1.833034354;1.863782603;1.951781279;1.967691724;1.968748253;1.956023356;1.942241779;2.211657951;2.240703164;2.260937436;2.284900066;2.304712486;2.304743049;2.304680522;2.30436435;2.303139699;2.302597702;2.302708927;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901;2.301944901
3;2.16;2.603872716;3.04927891;3.572277884;3.736046468;3.685154905;3.666068709;3.727565206;3.903562557;3.935383447;3.937496506;3.912046712;3.884483557;4.423315902;4.481406329;4.521874873;4.569800132;4.609424972;4.609486099;4.609361044;4.6087287;4.606279398;4.605195404;4.605417854;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801;4.603889801
4;4.32;5.207745433;6.098557821;7.144555768;7.472092936;7.370309811;7.332137417;7.455130411;7.807125115;7.870766894;7.874993011;7.824093424;7.768967115;8.846631804;8.962812658;9.043749746;9.139600264;9.218849943;9.218972198;9.218722088;9.2174574;9.212558796;9.210390809;9.210835708;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603
5;2.7;3.254840896;3.811598638;4.465347355;4.670058085;4.606443632;4.582585886;4.659456507;4.879453197;4.919229309;4.921870632;4.89005839;4.855604447;5.529144878;5.601757911;5.652343591;5.712250165;5.761781215;5.761857624;5.761701305;5.760910875;5.757849248;5.756494256;5.756772318;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252;5.754862252
6;4.86;5.858713612;6.860877548;8.037625239;8.406104553;8.291598537;8.248654595;8.387021712;8.783015754;8.854612756;8.859367137;8.802105102;8.740088004;9.95246078;10.08316424;10.17421846;10.2820503;10.37120619;10.37134372;10.37106235;10.36963958;10.36412865;10.36168966;10.36219017;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205
7;4.86;5.858713612;6.860877548;8.037625239;8.406104553;8.291598537;8.248654595;8.387021712;8.783015754;8.854612756;8.859367137;8.802105102;8.740088004;9.95246078;10.08316424;10.17421846;10.2820503;10.37120619;10.37134372;10.37106235;10.36963958;10.36412865;10.36168966;10.36219017;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205;10.35875205
8;4.32;5.207745433;6.098557821;7.144555768;7.472092936;7.370309811;7.332137417;7.455130411;7.807125115;7.870766894;7.874993011;7.824093424;7.768967115;8.846631804;8.962812658;9.043749746;9.139600264;9.218849943;9.218972198;9.218722088;9.2174574;9.212558796;9.210390809;9.210835708;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603;9.207779603
9;3.78;4.556777254;5.336238093;6.251486297;6.538081319;6.449021084;6.41562024;6.52323911;6.831234475;6.886921032;6.890618885;6.846081746;6.797846225;7.740802829;7.842461076;7.913281027;7.997150231;8.0664937;8.066600673;8.066381827;8.065275225;8.060988947;8.059091958;8.059481245;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152;8.056807152
